                        x                    pi(x)      Delta(x)
                        1.397                    0     +0.3666691026797908489480285949077268003436
                        1.398                    0     +0.3653772523134366909965292908272934269485
                        1.399                    0     +0.3640865477038402966289634660972414928213
                        1.400                    0     +0.3627969867505511539762148436854223581254
                        1.401                    0     +0.3615085673585973492335623214658207705696
                        1.402                    0     +0.3602212874384672627963195851452417213626
                        1.403                    0     +0.3589351449060913396822799197546841278041
                        1.404                    0     +0.3576501376828239338866452134822080676480
                        1.405                    0     +0.3563662636954252263170589667437898062439
                        1.406                    0     +0.3550835208760432159582919370817764626724
                        1.407                    0     +0.3538019071621957839180459494196791120963
                        1.408                    0     +0.3525214204967528300072464634320733099212
                        1.409                    0     +0.3512420588279184815100877967317248590008
                        1.410                    0     +0.3499638201092133738009765350378230868600
                        1.411                    0     +0.3486867022994570024673886986622761119523
                        1.412                    0     +0.3474107033627501465995147581211576017185
                        1.413                    0     +0.3461358212684573629094136794292324915740
                        1.414                    0     +0.3448620539911895503442329100535323962930
                        1.415                    0     +0.3435893995107865848598756673814970930020
                        1.416                    0     +0.3423178558123000240233101401072266349215
                        1.417                    0     +0.3410474208859758811135173357804071271784
                        1.418                    0     +0.3397780927272374683928653809433185466717
                        1.419                    0     +0.3385098693366683092224781792759289173179
                        1.420                    0     +0.3372427487199951186969355328831522506555
                        1.421                    0     +0.3359767288880708524754002066341010853137
                        1.422                    0     +0.3347118078568578234880150390839099054132
                        1.423                    0     +0.3334479836474108861981501492034541102933
                        1.424                    0     +0.3321852542858606881028066285903004762577
                        1.425                    0     +0.3309236178033969881551989161695174098678
                        1.426                    0     +0.3296630722362520417952433982087923999505
                        1.427                    0     +0.3284036156256840522753757318255524606014
                        1.428                    0     +0.3271452460179606879708040255794104938622
                        1.429                    0     +0.3258879614643426653649793962186139070583
                        1.430                    0     +0.3246317600210673974027296256583095570210
                        1.431                    0     +0.3233766397493327069051557357664040296623
                        1.432                    0     +0.3221225987152806047420353489598544708632
                        1.433                    0     +0.3208696349899811324591107779000568309667
                        1.434                    0     +0.3196177466494162690592639551438714765207
                        1.435                    0     +0.3183669317744639016381946403777134534852
                        1.436                    0     +0.3171171884508818595768228952588043446208
                        1.437                    0     +0.3158685147692920119942316598387504437468
                        1.438                    0     +0.3146209088251644281665504654885580273433
                        1.439                    0     +0.3133743687188016006187569421333466041015
                        1.440                    0     +0.3121288925553227305979388869094927077042
                        1.441                    0     +0.3108844784446480756381163210685508139251
                        1.442                    0     +0.3096411245014833589282702355884552745166
                        1.443                    0     +0.3083988288453042401967626765600318765652
                        1.444                    0     +0.3071575896003408478268615115757961741376
                        1.445                    0     +0.3059174048955623719196027101754525434316
                        1.446                    0     +0.3046782728646617180217333265562480465688
                        1.447                    0     +0.3034401916460402212379796524386541127205
                        1.448                    0     +0.3022031593827924204483772729391598891284
                        1.449                    0     +0.3009671742226908923528830688444597569199
                        1.450                    0     +0.2997322343181711450669636246625957568126
                        1.451                    0     +0.2984983378263165709933200826632428599509
                        1.452                    0     +0.2972654829088434586963662877903983010226
